POST,GROUP_ID,GROUP_TIME,SLICE_TIME
Extension_is_binary,14_38/004,6012.25,10632
FinalNode_no_outgoing_edges,14_38/004,6012.25,10893
Pin_control_pins,14_38/004,6012.25,13351
Node_internal_structure,14_38/005,180000,70589
StructuralFeatureAction_not_static,14_38/005,180000,86122
State_destinations_or_sources_of_transitions,14_38/006,180000,180000
BehavioralFeature_abstract_no_method,14_38/006,180000,34790
ExecutionSpecification_same_lifeline,14_38/007,0,0
InformationItem_has_no,14_38/008,0,0
ReadLinkObjectEndAction_ends_of_association,14_38/009,0,0
LinkAction_not_static,14_38/010,0,0
StringExpression_operands,14_38/011,0,0
Behavior_feature_of_context_classifier,14_38/012,0,0
CommunicationPath_association_ends,14_38/013,0,0
Component_no_nested_classifiers,14_38/014,0,0
ClassifierTemplateParameter_has_constraining_classifier,14_38/015,0,0
CreateObjectAction_classifier_not_abstract,14_38/016,0,0
CreateObjectAction_classifier_not_association_class,14_38/017,0,0
InformationFlow_convey_classifiers,14_38/018,0,0
ActionInputPin_one_output_pin,14_38/019,0,0
ActionInputPin_input_pin,14_38/020,0,0
AcceptCallAction_unmarshall,15_40/000,180000,8665
InformationItem_not_instantiable,15_40/000,180000,8283
ObjectFlow_is_multicast_or_is_multireceive,15_40/000,180000,8261
Parameter_stream_and_exception,15_40/000,180000,7871
FinalState_no_regions,15_40/000,180000,9209
Reception_same_name_as_signal,15_40/000,180000,10755
State_submachine_or_regions,15_40/000,180000,10489
ActivityParameterNode_has_parameters,15_40/000,180000,17710
ActivityParameterNode_no_edges,15_40/000,180000,9099
DecisionNode_decision_input_flow_incoming,15_40/000,180000,14336
Extend_extension_points,15_40/001,180000,35007
FinalState_no_outgoing_transitions,15_40/001,180000,9802
ForkNode_one_incoming_edge,15_40/001,180000,9369
InitialNode_no_incoming_edges,15_40/001,180000,9087
InitialNode_control_edges,15_40/001,180000,9606
JoinNode_one_outgoing_edge,15_40/001,180000,9615
MergeNode_one_outgoing_edge,15_40/001,180000,9612
Property_derived_union_is_read_only,15_40/002,14909.57143,10798
Property_derived_union_is_derived,15_40/002,14909.57143,11250
Property_subsetted_property_names,15_40/002,14909.57143,11304
State_submachine_states,15_40/002,14909.57143,11727
State_composite_states,15_40/002,14909.57143,11710
ValuePin_no_incoming_edges,15_40/002,14909.57143,9483
Pin_not_unique,15_40/002,14909.57143,12851
AcceptEventAction_no_output_pins,15_40/003,21008.5,10286
CallAction_synchronous_call,15_40/003,21008.5,13167
ConditionalNode_no_input_pins,15_40/003,21008.5,10693
AcceptEventAction_no_input_pins,15_40/003,21008.5,13143
Enumeration_immutable,15_40/004,6182.75,12075
Extension_is_binary,15_40/004,6182.75,10632
FinalNode_no_outgoing_edges,15_40/004,6182.75,10893
Pin_control_pins,15_40/004,6182.75,13351
Node_internal_structure,15_40/005,180000,70589
StructuralFeatureAction_not_static,15_40/005,180000,86122
State_destinations_or_sources_of_transitions,15_40/006,180000,180000
BehavioralFeature_abstract_no_method,15_40/006,180000,34790
ExecutionSpecification_same_lifeline,15_40/007,0,0
